A.1	Zjištění hodnoty $c$ tak, že rozsah racionální funkce $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ neobsahuje $[-1, -\frac{1}{3}]$	Jsem v pohodě, když mě žádají o výpočet oboru hodnot racionální funkce, ale jak to uděláme obráceně? Narazil jsem na tento problém. Pokud $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ pak najděte hodnotu $c$ pro kterou obor hodnot $f(x)$ neobsahuje interval $[-1, -\frac{1}{3}]$.	functions
A.2	Řešení diferenciálních rovnic ve formě $f'(x)=f(x+1)$	Jak řešit diferenciální rovnice ve tvaru: $\frac{df}{dx} = f(x+1)$?	ordinary-differential-equations
A.3	Aproximace $\sqrt{5}$ k přesnosti $10^{-10}$	Snažím se vyřešit následující problém: Najděte aproximaci $\sqrt{5}$ s přesností na $10^{-10}$ pomocí bisekční metody. Z toho, co chápu, musí být $\sqrt{5}$ vyjádřeno jako funkce $x$, ale nejsem si jistý, jak dál postupovat. V Mathematica jsou dány funkce k provedení výpočtů, ve kterých jsou uvedeny funkce $f(x)$, $a$ a $b$ (z intervalu $[a, b]$, kde $f(a)$ a $f(b)$ mají opačné znaménky), tolerance a počet iterací.	numerical-methods,algorithms,bisection
A.4	Jak vypočítat tuto kombinatorickou sumu?	Mám součet $$\sum_{k=0}^{n} \binom{n}{k} k$$ Vím, že výsledek je $n 2^{n-1}$, ale nevím, jak se k němu dostat. Jak začít zjednodušovat takový součet, který obsahuje binomické koeficienty.	combinatorics,number-theory,summation,proof-explanation
A.5	Rodina má dvě děti. Pokud jedno z dětí je chlapec, jaká je pravděpodobnost, že obě děti jsou chlapci?	Rodina má dva děti. Pokud víme, že jedno z dětí je chlapec, jaká je pravděpodobnost, že obě děti jsou chlapci? Tuto otázku jsem řešil pomocí vzorce pro podmíněnou pravděpodobnost. Předpokládejme, že (1) je událost, že první dítě je chlapec, a (2) je událost, že druhé dítě je chlapec. Potom pravděpodobnost, že druhé dítě je chlapec, pokud je první dítě chlapec, je dána vzorcem: $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...protože pravděpodobnost toho, že druhé dítě je chlapec, nezávisí na tom, zda je první dítě chlapec, a naopak. Podrobné řešení poskytněte, prosím, a opravte mě, pokud se mýlím.	probability,proof-verification,conditional-probability
A.6	Jak vypočítat mod čísla s velkým exponentem	Chci najít $$ 5^{133} \mod 8. $$ Postřehl jsem, že $5^n \mod 8 = 5$, když je $n$ liché a 1 jinak, což by mě vedlo k tvrzení, že $5^{133} \mod 8 = 5$. Ale nevím, jak to dokázat. Jak mohu dokázat, že je to pravda (nebo najít jiné řešení, pokud tomu tak není)?	algebra-precalculus,arithmetic
A.7	Zjištění zbytku $\frac{11^\text{10}-1}{100}$ pomocí modula	Pokud je $11^{10}-1$ děleno číslem $100$, pak vyřešte '$x$' následujícího výrazu: $$11^{10}-1 = x \pmod{100}$$ Bez ohledu na to, co jsem zkoušel: $11^2 \equiv 21 \pmod{100}$.....(1) $(11^2)^2 \equiv (21)^2 \pmod{100}$ $11^4 \equiv 441 \pmod{100}$ $11^4 \equiv 41 \pmod{100}$ $(11^4)^2 \equiv (41)^2 \pmod{100}$ $11^8 \equiv 1681 \pmod{100}$ $11^8 \equiv 81 \pmod{100}$ $11^8 \times 11^2 \equiv (81 \times 21) \pmod{100}$ ......{z (1)} $11^{10} \equiv 1701 \pmod{100} \implies 11^{10} \equiv 1 \pmod{100}$ Tudíž, $11^{10} -1 \equiv (1-1) \pmod{100} \implies 11^{10} - 1 \equiv 0 \pmod{100}$ a tím získáme hodnotu $x$, a to je $x = 0$ a $11^{10}-1$ je dělitelné číslem $100$. Ale tento přístup trvá dlouho při jakémkoli soutěžním zkoušení nebo matematické soutěži bez použití kalkulačky. Existuje snadnější postup, jak rychle určit zbytek výše uvedeného problému? To by pro mě bylo velmi užitečné. Předem děkuji.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	hledání hodnoty $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Nalézt hodnotu $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$. Co jsem zkoušel: $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ Jak to vyřešit? Prosím, pomozte mi.	limits
A.9	Zjednodušení této série	Potřebuji zapsat řadu $$\sum_{n=0}^N nx^n$$ ve formě, která neobsahuje zápis pomocí sigma notace, například $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Má někdo nějaký nápad, jak to udělat? Zkoušel jsem různé způsoby, včetně použití generujících funkcí, ale ani jedna cesta mi nepřinesla úspěch.	sequences-and-series
A.10	Najděte hodnoty a>0 , pro které nevlastní integrál $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ konverguje.	Najděte hodnoty parametru $a > 0$, pro které nevlastní integrál \$\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ konverguje. Musím rozvinout integrand pomocí řady?	improper-integrals
A.11	Jaký je vektorový součin ve dvou dimenziích?	Matematická kniha, kterou používám, stanoví, že vektorový součin dvou vektorů je definován nad $R^3$: $$u = (a,b,c)$$ $$v = (d,e,f)$$ je: $$u \times v = \begin{vmatrix} \hat{i} & \hat{j} & \hat{k} \\ a & b & c \\ d & e & f \\ \end{vmatrix} $$ a směr výsledku je určen zatáčením prstů od vektoru v k vektoru u, přičemž palec ukazuje směr vektorového součinu u x v. Zvědavostí, co je křížový součin, pokud jsou u a v definovány nad $R^2$ místo $R^3$: $$u = (a,b)$$ $$v = (d,e)$$ Existuje "degenerovaný" případ křížového součinu pro $R^2$ místo $R^3$? Jako je to nějaký typ 2x2 determinantu? Například pokud bychom měli parametrizaci: $$\Phi(u,\ v) = (\ f(u),\ \ g(v)\ )$$ a potřebovali počítat v $R^2$: $$ D = \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$ V knize je spousta příkladů na výpočet determinantu D v $R^3$, ale vůbec žádný pro případ $R^2$. Jako například: $$ \iint_{V} f(x,y) dx\ dy = \iint_{Q} f(\Phi(u,v) \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$ $$ \Phi(u,v)=(2u \cos v,\ \ u \sin v) $$	multivariable-calculus,vectors
A.12	Hledání kořenů komplexního čísla	Právě jsem řešil cvičné úlohy pro nadcházející zkoušku a uvízl jsem s tímto typem otázky. Ptá se mě, abych našel všechny kořeny a potom jej nakreslil. $(1+i\sqrt{3})^{1/2}$ Jak postupujeme?	linear-algebra,complex-numbers,polar-coordinates
