A.1	U skladu s člankom 4. stavkom 1. stavkom 1. točka 1.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.2	Računavanje diferencijalnih jednačina oblika $f'(x)=f(x+1)$	Kako riješiti diferencijalne jednadžbe sljedećeg oblika: $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	Približavanje $\sqrt{5}$ ispravnom točnošću $10^{-10}$	Pokušavam riješiti sljedeći problem: pronađite približku $\sqrt{5}$ ispravnu preciznost $10^{-10}$ koristeći algoritam razdvajanja. Što ja razumijem, $\sqrt{5}$ mora biti postavljen u funkciju $x$ ali nisam siguran gdje ići odatle.	numerical-methods,algorithms,bisection
A.4	Kako izračunati ovaj kombinativni iznos?	Imam suma $$\sum_{k=0}^{n} \binom{n}{k} k$$ znam da je rezultat $n 2^{n-1}$ ali ne znam kako doći do toga.	combinatorics,number-theory,summation,proof-explanation
A.5	S obzirom da je jedno od djece dječak, kakva je vjerojatnost da su oba dječak?	S obzirom da je jedno od djece dječak, kakva je vjerojatnost da su obje dječak? Ja sam to pitanje stavio koristeći uvjetnu formuli vjerojatnosti. Pretpostavimo, (1) je događaj, da je prvi dječak dječak, i (2) je događaj da je drugi dječak dječak. Onda je vjerojatnost drugog djeteta biti dječak, s obzirom da je prvo dijete dječak po formuli, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ... budući da drugo dijete biti dječak ne ovisi o prvom djetetu i obrnuto. Molim vas, pružite detaljno rješenje i ispravite me ako se varam.	probability,proof-verification,conditional-probability
A.6	Kako izračunati mod broja s velikim eksponentom	Želim pronaći $$ 5^{133} \mod 8. $$ primijetio sam da je $5^n \mod 8 = 5$ kad je $n$ nerazličan i 1 inače, što bi me dovelo da kažem da je $5^{133} \mod 8 = 5$ Ali ne znam kako dokazati ovo. Kako mogu dokazati da je to slučaj (ili pronaći drugo rješenje ako nije)?	algebra-precalculus,arithmetic
A.7	U skladu s člankom 4. stavkom 1. stavkom 1.	Ako je $11^\text{10}-1$ podijeljen s $100$, onda riješite za '$x$' u sljedećem terminu $$11^\text{10}-1 = x \pmod{100}$$ Što god da sam pokušao: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{od (1)} $11^\text{10}-1$3 Stoga, $11^\text{10}-1$4 i tako dobivamo vrijednost $x$ i to je $11^\text{10}-1$5 i $11^\text{10}-1$ je podijeljen s $100$. Ali ovaj pristup traje dugo vremena za bilo koji natjecatelj ili natjecanje bez korištenja kalkulatora.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	utvrđivanje vrijednosti $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Otkrivanje vrijednosti $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ što sam pokušao $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ Kako ga riješiti pomozite mi molim	limits
A.9	Ujednostavljujući ovu seriju	Moram napisati niz $$\sum_{n=0}^N nx^n$$ u obliku koji ne uključuje notiranje sumiranja, na primjer $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Ima li netko ideju kako to učiniti?	sequences-and-series
A.10	Nađi vrijednosti a>0 za koje se neprikladna integralna $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ konvergira .	Naći vrijednosti a>0 za koje neprikladna integrala $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ konvergira.	improper-integrals
A.11	Što je križni proizvod u 2 dimenzije?	U matematičkoj knjizi koja koristim navodi da je križni proizvod za dva vektora definiran preko $R^3$: $$u = (a,b,c)$$ $$v = (d,e,f)$$ je: $$u \times v = \begin{vmatrix} \hat{i} & \hat{j} & \hat{k} \\ a & b & c \\ d & e & f \\ \end{vmatrix} $$ i smjer rezultanta određuje se vrtavanjem prstiju od vektora v do u s palcem ukazujući u smjeru križnog proizvoda u x v. Iz znatiželje, što je križni proizvod ako u i v definiraju preko $R^2$ umjesto $R^3$ umjesto: $$u = (a,b)$$ $$v = (d,e)$$ Postoji li "degenerirani" slučaj za križni proizvod $R^2$ umjesto $R^3$?	multivariable-calculus,vectors
A.12	Pronaći korijene kompleksnog broja	Rješavao sam probleme u praksi za svoj idući srednji termin i ipak sam se zaglavio sa ovim tipom pitanja.	linear-algebra,complex-numbers,polar-coordinates
A.13	Kako pojednostaviti izraz $\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$	Kako pojednostaviti izraz $$\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$$ Odgovor je $bf(b)-af(a)$ ali pitam se kako dobiti odgovor.	calculus
A.14	Pomoć u rješavanju diferencijalne jednačine prvog reda	Imam razliku prvog reda $$y=xy'+ \frac{1}{2}(y')^{2}$$ Možda će s tim netko pronaći način da ga riješimo $$\frac{1}{2}y'(2x+y')=y$$ Mislio sam da mogu koristiti $x^2+y=t$ za potpis i kada izvedem, imam $t'=2x+y'\\(t'-2x)t'=2t-2x^2$ koji je zapravo isti kao i prethodni.	ordinary-differential-equations
A.15	Izvoditi suma $\sum_{i=1}^n ix^{i-1}$	Za niz $$1 + 2x + 3x^2 + 4x^3 + 5x^4 + ... + nx^{n-1}+... $$ i $x \ne 1, |x| < 1$. Moram pronaći djelomične sume i na kraju, zbir $S_n$ nizova. Evo što sam pokušao: Možemo uzeti niz $S_2 = 1 + x + x^2 + x^3 + x^4 + ...$ tako da $\frac{d(S_2)}{dx} = S_1$ (izvorni niz). Za $|x| < 1$ suma $S_2$ ( Ovdje je geometrijska progresja): $\frac{1-x^n}{1-x} = \frac{1}{1-x}$ $S_1 = \frac{d(S_2)}{dx} = \frac{d(\frac{1}{1-x})}{dx} = \frac{1}{(1-x)^2}$ Ali ovaj odgovor nije tačan. Gdje je moja greška? Hvala.	sequences-and-series,convergence,summation,power-series
A.16	Pronaći $ \int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}dx$	Računajte $$\int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}\,dx$$ Moj pokušaj: Let: $$I(a,b)=\int_0^1\frac{\ln(1-ax)\ln(1+bx)}{1+x}\,dx$$ Onda izračunajte $\frac{d^2 I(a,b)}{dadb}$.	integration,sequences-and-series,definite-integrals,closed-form
A.17	Računajte $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$ funkcijom $\frac{e^{iz}}{z}$	Želim izračunati $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$ funkcijom $f(z) = \frac{e^{iz}}{z}$. Razmišljao sam o korištenju zatvorenog puta $\Gamma = \gamma _1 + \gamma _R + \gamma _2 + \gamma _{\epsilon}$, kada: $\gamma_1 (t) = t, t \in [i\epsilon, iR]$ $\gamma_R (t) = Re^{it}, t \in [-\frac{\pi}{2}, \frac{\pi}{2}]$ $\gamma_2 (t) = t, t \in [-iR, -i\epsilon]$ $\gamma_{\epsilon} (t) = \epsilon e^{it}, t \in [-\frac{\pi}{2}, \frac{\pi}{2}]$ Koristim činjenicu da je $\frac{\sin(x)}{x}$ parna funkcija i ima anti-derivat, tako da je integral na zatvorenom putu nula. Uspjela sam pokazati da $\int_{\gamma _{\epsilon}} f = -i\pi$ kada $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$0. Međutim, teško sam pokazao da je $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$1 kada $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$2 Pomoć bi bila cijena	complex-analysis,improper-integrals
A.18	Ocenjuje se $\lim_{n \rightarrow \infty } \frac {[(n+1)(n+2)\cdots(n+n)]^{1/n}}{n}$	Ocijeni $$\lim_{n \rightarrow \infty~} \dfrac {[(n+1)(n+2)\cdots(n+n)]^{\dfrac {1}{n}}}{n}$$ koristeći Cesáro-Stolz teoremu. Znam da postoji mnogo pitanja poput ove, ali želim da je riješim koristeći Cesáro-Stolz metodu i ne druge. Uzeo sam log i primijenio Cesáro-Stolz, dobivam $$\log{2}+n\log\cfrac{n}{n+1}$$ Koji mi daje odgovor kao $\frac{2}{e}$ . Ali odgovor je $\frac{4}{e}$. Može li netko pomoći?	sequences-and-series
A.19	Najveći zajednički faktor $ p^4-1$	Zamolio me je da nađem najveći zajednički faktor $p^4-1$ za sve prazne brojeve > 5, prvo sam dobio vrijednost $7^4 - 1$ koji ima dijeleće $2^4* 3 *5*2$ i $11^4 - 1$ koji ima dijeleće $2^4 *3 * 5*61$ koji ima GCF $2^4*3*5$ mogu dokazati da je $p^4 - 1$ podijeljen na 3 i 5 slučajevima i 8 na $(p^2+1)(p-1)(p+1)$ su čak i čitavci, ali ne znam kako dokazati podijelljivost $2^4$, ne želim ga razbiti jer moramo provjeriti oko 7 brojeva kako bi dokazali njegovu podijelljivost dodjeljenjem $p^4-1$0 gdje x <16	divisibility,greatest-common-divisor
A.20	Računati sve $n \in \Bbb N \setminus \{41\}$ tako da $\phi(n)=40$?	Tražim $n \in \Bbb N$ za koji $\phi(n) = 40$ gdje $\phi$ je Euler-Totient funkcija već sam pronašao jedan, a to je, $n=41$ Kako izračunati $n's$?	totient-function
A.21	Pronaći posljednje dvije cifre $9^{9^{9^{…{^9}}}}$ ( devet devetki)	Nastavljao sam put u učenju modularne aritmetike i zbunjen sam ovom pitanjem: Naći posljednje dvije cifre $9^{9^{9^{…{^9}}}}$ ( devet devet).	number-theory,modular-arithmetic
A.22	Nađi broj d-ova koji zadovoljavaju $d, d+1, d+2... = N$ za $N$	Imam izazov o mači u putovanju gdje može hodati na putu $d, d+1, d+2...$ i suma toga bi trebala dati $N$, ako se dobije $N$, koliko je moguće odabrati $d$? Primjer: $N=30$ -> $Ans=3$ $d_1=4; d_2=6; d_3=8$ Za $d_1: 4 + 5 + 6 + 7 + 8 = 30$ Edit: Drugi način da se vidi je: Koliko je podsjedinica u sumiranju do N moguće na način $(\sum (d+n) - \sum(d-1))$=N	sequences-and-series,number-theory
