A.1	یافتن مقدار $c$ به گونه ای که محدوده تابع منطقی $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ $[-1, -\frac{1}{3}]$ را شامل نکند	من راحت هستم وقتی از من خواسته می شود دامنه یک تابع منطقی را محاسبه کنم، اما چگونه برعکس را انجام دهیم؟ من با این مشکل مواجه شدم. اگر $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ پس ارزش $c$ را پیدا کنید که دامنه $f(x)$ حاوی $[-1, -\frac{1}{3}]$ نیست.	functions
A.2	حل معادلات فرقی فرم $f'(x)=f(x+1)$	چگونه معادلات فرقی از فرم زیر را حل کنیم: $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	نزدیک شدن به $\sqrt{5}$ درست به دقت $10^{-10}$	من در تلاش برای حل مشکل زیر هستم: با استفاده از الگوریتم دو قطعه، یک تقرب $\sqrt{5}$ درست به دقت $10^{-10}$ پیدا کنید. از آنچه می دانم، $\sqrt{5}$ باید به عنوان تابع $x$ قرار گیرد اما مطمئن نیستم که از آنجا به کجا برویم. همچنین، یک تابع در ریاضیات برای انجام محاسبات داده می شود که در آن تابع $f(x)$، $a$ و $b$ (از فاصله $[a, b]$ که $f(a)$ و $f(b)$ نشانه های مخالف دارند) ، تحمل و تعداد تکرار انجام می شود.	numerical-methods,algorithms,bisection
A.4	چطور این مبلغ ترکیبی را محاسبه کنیم؟	من مقدار $$\sum_{k=0}^{n} \binom{n}{k} k$$ دارم، من می دانم که نتیجه $n 2^{n-1}$ است اما نمی دانم که چگونه به آنجا می رسد. چگونه حتی یک نفر شروع به ساده کردن مقدار مانند این که دارای معادلات دوگانه است.	combinatorics,number-theory,summation,proof-explanation
A.5	یک خانواده دو فرزند دارد. با توجه به اینکه یکی از کودکان پسر است، احتمال اینکه هر دو فرزند پسر باشند چه است؟	یک خانواده دو فرزند دارد. با توجه به اینکه یکی از کودکان پسر است، احتمال اینکه هر دو کودک پسر باشند چه است؟ من این سوال را با استفاده از فرمول احتمال مشروط می پرسیدم. فرض کنید، (1) این اتفاق است که اولین کودک پسر است، و (2) این اتفاق است که کودک دوم پسر است. سپس احتمال پسر بودن فرزند دوم به نظر می رسد که اولین کودک پسر است با فرمول $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...از آنجا که فرزند دوم پسر است بستگی به اولین کودک ندارد و برعکس. لطفا راه حل مفصل را ارائه دهید و اگر اشتباه کردم مرا اصلاح کنید.	probability,proof-verification,conditional-probability
A.6	چگونه با نماد بزرگ شمارش را محاسبه کنیم	من می خواهم $$ 5^{133} \mod 8. $$ را پیدا کنم من متوجه شدم که $5^n \mod 8 = 5$ زمانی است که $n$ نامساوی است و 1 در غیر این صورت، که باعث می شود من بگویم که $5^{133} \mod 8 = 5$ اما من نمی دانم چگونه این را اثبات کنم. چگونه می توانم ثابت کنم که این مورد است (یا پیدا کردن راه حل دیگری اگر آن را نیست)?	algebra-precalculus,arithmetic
A.7	کشف باقیمانده $\frac{11^\text{10}-1}{100}$ با استفاده از ماژول	اگر $11^\text{10}-1$ به $100$ تقسیم شود، پس برای '$x$' از اصطلاح زیر $$11^\text{10}-1 = x \pmod{100}$$ حل کنید هر چه که سعی کردم: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{از (1)} $11^\text{10}-1$3 بنابراین، $11^\text{10}-1$4 و بنابراین ما مقدار $x$ را دریافت می کنیم و $11^\text{10}-1$5 و $11^\text{10}-1$ با $100$ قابل تقسیم است. اما این رویکرد برای هر آزمون رقابتی یا هر مسابقه بدون استفاده از ماشین حساب کار می کند.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	یافتن ارزش $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	پیدا کردن ارزش $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ چه چیزی را امتحان می کنم $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ چگونه می توانم آن را حل کنید لطفا کمکم کنید	limits
A.9	ساده کردن این سری	من باید سری $$\sum_{n=0}^N nx^n$$ را به شکل ای بنویسم که شامل نماد جمع بندی نباشد، به عنوان مثال $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$ آیا کسی ایده ای دارد که چگونه این کار را انجام دهم؟ من چندین راه از جمله استفاده از عملکردهای تولید را امتحان کرده ام اما هیچ شانس	sequences-and-series
A.10	ارزش های a>0 را پیدا کنید که برای آن یکپارچه $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ نامناسب به هم می رسد .	ارزش های a>0 را پیدا کنید که برای آن یکپارچه $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ نامناسب به هم می پیوندد. آیا من باید یکپارچه را با استفاده از گسترش سری گسترش دهم؟	improper-integrals
A.11	محصول متقاطع در دو ابعاد چیست؟	کتاب ریاضی که من استفاده می کنم می گوید که محصول متقاطع برای دو متری در $R^3$ تعریف شده است: $$u = (a,b,c)$$ $$v = (d,e,f)$$ است: $$u \times v = \begin{vmatrix} \hat{i} & \hat{j} & \hat{k} \\ a & b & c \\ d & e & f \\ \end{vmatrix} $$ و جهت نتیجه توسط خم کردن انگشتان از متری v به u با انگشت انگشت نشان دادن به سمت محصول متقاطع u x v است. از کنجکاوی، محصول متقاطع چیست اگر u و v در $R^2$ تعریف شده است به جای $R^3$ به جای $$u = (a,b)$$: $$v = (d,e)$$ آیا یک مورد "پدیدار" برای محصول متقاطع $R^2$ به جای $R^3$ وجود دارد؟ مانند این نوع 2x2 تعیین کننده است به جای؟ به عنوان مثال اگر یک پارامتر: $$\Phi(u,\ v) = (\ f(u),\ \ g(v)\ )$$ و نیاز به محاسبه در $R^2$: $$ D = \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$ نمونه های زیادی در کتاب برای محاسبه D مشخص در Q1 وجود دارد اما هیچ یک مورد برای $R^3$1 $R^3$0	multivariable-calculus,vectors
A.12	پیدا کردن ریشه یک عدد پیچیده	من در حال حل مشکلات تمرین برای دوره نیمه تحصیلی ام بودم و با این حال با این نوع سوال گیر کردم. این از من می خواهد که تمام ریشه ها را پیدا کنم و سپس آنها را رسم کنم. $(1+i\sqrt{3})^{1/2}$ چگونه ادامه دهیم؟	linear-algebra,complex-numbers,polar-coordinates
A.13	چگونه عبارت $\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$ را ساده کنیم	چگونه عبارت $$\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$$ را ساده کنیم؟ پاسخ $bf(b)-af(a)$ است اما من می خواهم بگویم که چگونه پاسخ را بدست آوریم.	calculus
A.14	کمک به حل معادله فرقی درجه اول	من یک معادله فرقی درجه اول $$y=xy'+ \frac{1}{2}(y')^{2}$$ دارم شاید با این یکی راهی پیدا کند تا آن را حل کند $$\frac{1}{2}y'(2x+y')=y$$ فکر کردم می توانم $x^2+y=t$ را برای زیرنویس استفاده کنم و وقتی من مشتق می شوم، $t'=2x+y'\\(t'-2x)t'=2t-2x^2$ دارم که دقیقا همان چیزی است که قبلاً داشتیم. من نمی دانم چگونه شروع کنم..	ordinary-differential-equations
