A.1	یافتن مقدار $c$ به گونه ای که محدوده تابع منطقی $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ $[-1, -\frac{1}{3}]$ را شامل نکند	من راحت هستم وقتی از من خواسته می شود که دامنه یک تابع منطقی را محاسبه کنم، اما چگونه برعکس را انجام دهیم؟ من با این مشکل مواجه شدم. اگر $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ پس ارزش $c$ را پیدا کنید که محدوده $f(x)$ حاوی $[-1, -\frac{1}{3}]$ نیست.	functions
A.2	حل معادلات فرقی شکل $f'(x)=f(x+1)$	چگونه معادلات فرقی شکل زیر را حل کنیم: $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	نزدیک شدن به $\sqrt{5}$ درست به دقت $10^{-10}$	من در تلاش هستم تا مشکل زیر را حل کنم: با استفاده از الگوریتم دو قطعه، یک محاسبات $\sqrt{5}$ درست به دقت $10^{-10}$ پیدا کنید. از آنچه می دانم، $\sqrt{5}$ باید به عنوان تابع $x$ قرار گیرد اما مطمئن نیستم که از آنجا به کجا برویم. همچنین، یک تابع در ریاضیات برای انجام محاسبات داده می شود که در آن عملکرد $f(x)$, $a$ و $b$ (از فاصله $[a, b]$ که $f(a)$ و $f(b)$ نشانه های مخالف دارند) ، تحمل و تعداد تکرار ها.	numerical-methods,algorithms,bisection
A.4	چطور این مبلغ ترکیبی را محاسبه کنیم؟	من مقدار $$\sum_{k=0}^{n} \binom{n}{k} k$$ دارم، من می دانم که نتیجه $n 2^{n-1}$ است اما نمی دانم که چگونه به آنجا می رسد. چگونه حتی یک نفر شروع به ساده کردن مقدار مانند این که دارای معادلات دوگانه است.	combinatorics,number-theory,summation,proof-explanation
A.5	یک خانواده دو فرزند دارد. با توجه به اینکه یکی از کودکان پسر است، احتمال اینکه هر دو فرزند پسر باشند چه است؟	یک خانواده دو فرزند دارد. با توجه به اینکه یکی از کودکان پسر است، احتمال اینکه هر دو کودک پسر باشند چه است؟ من این سوال را با استفاده از فرمول احتمال مشروط می پرسیدم. فرض کنید، (1) این اتفاق است که اولین کودک پسر است، و (2) این اتفاق است که کودک دوم پسر است. سپس احتمال پسر بودن فرزند دوم به نظر می رسد که اولین کودک پسر است با فرمول، $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...از آنجا که فرزند دوم پسر است بستگی به اولین کودک و برعکس ندارد. لطفا راه حل مفصل را ارائه دهید و اگر اشتباه کردم مرا اصلاح کنید.	probability,proof-verification,conditional-probability
A.6	چگونه با نماد بزرگ شمارش را محاسبه کنیم	من می خواهم $$ 5^{133} \mod 8. $$ را پیدا کنم من متوجه شدم که $5^n \mod 8 = 5$ زمانی که $n$ نامساوی است و 1 غیر مساوی است، که باعث می شود من بگویم که $5^{133} \mod 8 = 5$ اما من نمی دانم چگونه این را ثابت کنم. چگونه می توانم ثابت کنم که این مورد است (یا پیدا کردن راه حل دیگری اگر این نیست)?	algebra-precalculus,arithmetic
A.7	یافتن باقی مانده از $\frac{11^\text{10}-1}{100}$ با استفاده از ماژول	اگر $11^\text{10}-1$ به $100$ تقسیم شود، پس برای '$x$' از اصطلاح زیر $$11^\text{10}-1 = x \pmod{100}$$ حل کنید هر چه که من امتحان کردم: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{از (1)} $11^\text{10}-1$3 بنابراین، $11^\text{10}-1$4 و بنابراین ما مقدار $x$ را دریافت می کنیم و این $11^\text{10}-1$5 و $11^\text{10}-1$ قابل تقسیم با $100$ است. اما این رویکرد برای هر آزمون رقابتی یا هر مسابقه ریاضی بدون استفاده از ماشین حساب زمان زیادی را می گیرد. هر فرآیند ساده تر در مورد چگونگی تعیین باقی مانده از مشکل فوق به سرعت؟ این برای من بسیار مفید خواهد بود. از پیش تشکر می کنم.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	یافتن ارزش $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	پیدا کردن ارزش $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ چه چیزی من سعی کردم $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ چگونه من آن را حل کنید لطفا کمکم کنید	limits
A.9	ساده کردن این سری	من باید سری $$\sum_{n=0}^N nx^n$$ را به شکل ای بنویسم که شامل نماد جمع بندی نباشد، مثلا $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. آیا کسی ایده ای دارد که چگونه این کار را انجام دهم؟ من چندین راه از جمله استفاده از عملکردهای تولید را امتحان کرده ام اما هیچ شانس	sequences-and-series
A.10	ارزش های a>0 را پیدا کنید که برای آن یکپارچه نامناسب $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ به هم می رسد .	ارزش های a>0 را پیدا کنید که برای آن یکپارچه نامناسب $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ به هم می پیوندد. آیا من باید یکپارچه را با استفاده از گسترش سری گسترش دهم؟	improper-integrals
