A.1	Finding value of $c$ such that the range of the rational function $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ does not contain $[-1, -\frac{1}{3}]$	I am comfortable when I am asked to calculate the range of a rational function, but how do we do the reverse? I came across this problem. If $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ then find the value of $c$ for which the range of $f(x)$ does not contain $[-1, -\frac{1}{3}]$.	求出$c$的值,使得理性函数$f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$的范围不包含$[-1, -\frac{1}{3}]$	如果我被要求计算一个理性的函数的范围,我很舒服,但是我们如何做反转呢?我遇到了这个问题.如果$$f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$$然后找到$c$的值,而$f(x)$的范围没有$[-1, -\frac{1}{3}]$.	functions
A.2	Solving differential equations of the form $f'(x)=f(x+1)$	How to solve differential equations of the following form:  $\frac{df}{dx} = f(x+1)$	解决$f'(x)=f(x+1)$表格的差异方程	如何解决以下形式的分化方程:$\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	Approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$	I am attempting to resolve the following problem:  Find an approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$ using the bisection algorithm.  From what I understand, $\sqrt{5}$ has to be placed in function of $x$ but I am not sure where to go from there. Also, a function in Mathematica are given to do the calculations in which the function $f(x)$, $a$ and $b$ (from the interval $[a, b]$ where $f(a)$ and $f(b)$ have opposite signs), the tolerance and the number of iterations.	接近$\sqrt{5}$对准确度的$10^{-10}$	我试图解决以下问题:通过二分算法找到$\sqrt{5}$对$10^{-10}$的准确性进行近似.从我所理解的角度来看,$\sqrt{5}$必须被放置在$x$的函数中,但我不确定从那里到哪里去.	numerical-methods,algorithms,bisection
A.4	How to compute this combinatoric sum?	I have the sum $$\sum_{k=0}^{n} \binom{n}{k} k$$ I know the result is $n 2^{n-1}$ but I don't know how you get there. How does one even begin to simplify a sum like this that has binomial coefficients.	如何计算这个结合金额?	我知道结果是$n 2^{n-1}$,但我不知道如何做到这一点. 如何开始简化这样一个有二项系数的数量.	combinatorics,number-theory,summation,proof-explanation
A.5	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?  I was doing this question using conditional probability formula.  Suppose, (1) is the event, that the first child is a boy, and (2) is the event that the second child is a boy. Then the probability of the second child to be boy given that first child is a boys by formula, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...since second child to be boy doesn't depend on first child and vice versa. Please provide the detailed solution and correct me if I am wrong.	一个家庭有两个孩子. 考虑到其中一个孩子是男孩,两个孩子都是男孩的概率是多少?	一个家庭有两个孩子.考虑到其中一个孩子是男孩,两个孩子都是男孩的概率是多少?我用条件概率公式来问这个问题.假设, (1) 是事件,第一个孩子是男孩, (2) 是事件,第二个孩子是男孩.然后,第二个孩子是男孩的概率是根据公式,$P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...因为第二个孩子是男孩不取决于第一个孩子和相反.请提供详细的解决方案,纠正我如果我错了.	probability,proof-verification,conditional-probability
A.6	How to calculate mod of number with big exponent	I want to find $$ 5^{133} \mod 8. $$ I have noticed that $5^n \mod 8 = 5$ when $n$ is uneven and 1 otherwise, which would lead me to say that $5^{133} \mod 8 = 5$ But I don't know how to prove this. How can I prove that this is the case (or find another solution if it is not)?	如何计算大指数的数量	我想找到$$ 5^{133} \mod 8. $$ 我注意到$5^n \mod 8 = 5$当$n$是不均的,而1则是不均的,这会导致我说$5^{133} \mod 8 = 5$但我不知道如何证明这一点.我怎么证明这是真的 (或者找到另一种解决方案如果不是)?	algebra-precalculus,arithmetic
A.7	Finding out the remainder of $\frac{11^\text{10}-1}{100}$ using modulus	If $11^\text{10}-1$ is divided by $100$, then solve for '$x$' of the below term $$11^\text{10}-1 = x \pmod{100}$$  Whatever I tried: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{8} \equiv 1681 \pmod{100}$ $11^\text{8} \equiv 81 \pmod{100}$ $11^\text{8} × 11^\text{2} \equiv (81×21) \pmod{100}$ ......{from (1)} $11^\text{10} \equiv 1701 \pmod{100} \implies 11^\text{10} \equiv 1 \pmod{100}$ Hence, $11^\text{10} -1 \equiv (1-1) \pmod{100} \implies 11^\text{10} - 1 \equiv 0 \pmod{100}$ and thus we get the value of $x$ and it is $x = 0$ and $11^\text{10}-1$ is divisible by $100$. But this approach take a long time for any competitive exam or any math contest without using calculator. Any easier process on how to determine the remainder of the above problem quickly? That will be very much helpful for me. Thanks in advance.	使用模块来查找剩余的$\frac{11^\text{10}-1}{100}$	如果$11^\text{10}-1$被$100$分为,然后解决下面的术语$$11^\text{10}-1 = x \pmod{100}$$无论我尝试过什么:$11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{从 (1)} $11^\text{10}-1$3 因此,$11^\text{10}-1$4这样我们得到$x$的值,它是$11^\text{10}-1$5和$11^\text{10}-1$是可分割的$100$.但是这种方法需要很长时间的任何竞争考试或任何比赛没有使用计算器.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ what i try $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ How do i solve it help me please	找出$\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$的值	找到$\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$的值,我试图$\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$$\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$如何解决?请帮我	limits
A.9	Simplifying this series	I need to write the series  $$\sum_{n=0}^N nx^n$$  in a form that does not involve the summation notation, for example $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Does anyone have any idea how to do this? I've attempted multiple ways including using generating functions however no luck	简化这一系列	我需要以不涉及总结符号的形式写$$\sum_{n=0}^N nx^n$$ 序列,例如$\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$.有没有人知道如何做到这一点吗?我尝试了多种方法,包括使用生成函数,但没有运气	sequences-and-series
A.10	Find the values of a>0 for which the improper integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ converges .	Find the values of a>0 for which the improper integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ converges .  Do  I have to expand integrand using series expansion??	找出不合适的整体$\int_{0}^{\infty}\frac{\sin x}{x^{a}} $相近的>0值.	找出不合适的整体$\int_{0}^{\infty}\frac{\sin x}{x^{a}} $相近的>0值.我必须扩大整体并使用序列扩展吗?	improper-integrals
