A.1	Zjištění hodnoty $c$, takže rozsah racionální funkce $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ neobsahuje $[-1, -\frac{1}{3}]$	Jsem spokojený, když mě požádají, abych vypočítal rozsah racionální funkce, ale jak se dá dělat obráceně? Našel jsem tento problém. Pokud $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ pak najít hodnotu $c$, pro kterou rozsah $f(x)$ neobsahuje $[-1, -\frac{1}{3}]$.	functions
A.2	Řešení diferenciálních rovnic formuláře $f'(x)=f(x+1)$	Jak řešit diferenciální rovnice následujícího typu: $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	Přibližování k pravosti $\sqrt{5}$ k přesnosti $10^{-10}$	Snažím se vyřešit následující problém: Najdi přibližování $\sqrt{5}$ správné k přesnosti $10^{-10}$ pomocí algoritmu rozdělení. Z toho, co chápu, je třeba $\sqrt{5}$ umístit ve funkci $x$, ale nejsem si jistý, kam se odtud dostat. Také funkce v matematice jsou poskytnuty k výpočtům, ve kterých funkce $f(x)$, $a$ a $b$ (z intervalu $[a, b]$ kde $f(a)$ a $f(b)$ mají opačné znaky), toleranci a počet iterativ.	numerical-methods,algorithms,bisection
A.4	Jak vypočítat tuto kombinovanou sumu?	Mám součet $$\sum_{k=0}^{n} \binom{n}{k} k$$, výsledek je $n 2^{n-1}$, ale nevím, jak se k tomu dostaneme.	combinatorics,number-theory,summation,proof-explanation
A.5	Jelikož jedno z dětí je chlapec, kolik je pravděpodobnosti, že oba děti jsou chlapi?	V rodině jsou dva děti. Vzhledem k tomu, že jedno dítě je chlapec, jaká je pravděpodobnost, že oba děti jsou chlapci? Zkoušel jsem tuto otázku pomocí podmíněného pravděpodobnostního vzorce. Předpokládejme, že (1) je událost, že první dítě je chlapec, a (2) je událost, že druhé dítě je chlapec. Pak pravděpodobnost druhého dítěte být chlapec, vzhledem k tomu, že první dítě je chlapec podle vzorce, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...pokud druhé dítě být chlapec není závislé na prvním dítěti a naopak. Prosím, poskytněte podrobné řešení a opravte mě, pokud se mýlím.	probability,proof-verification,conditional-probability
A.6	Jak vypočítat mod číslo s velkým exponentem	Chci najít $$ 5^{133} \mod 8. $$ jsem si všiml, že $5^n \mod 8 = 5$ je nerovný, když $n$ je nerovný a 1 jinak, což by mě vedlo k tomu, abych řekl, že $5^{133} \mod 8 = 5$ Ale nevím, jak to dokázat. Jak mohu dokázat, že je to tak (nebo najít jiné řešení, pokud to není)?	algebra-precalculus,arithmetic
A.7	Zjištění zbytku $\frac{11^\text{10}-1}{100}$ pomocí modulus	Pokud je $11^\text{10}-1$ děleno $100$, pak vyřešte '$x$' níže uvedeného pojem $$11^\text{10}-1 = x \pmod{100}$$ Ať už jsem zkoušel: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{z (1)} $11^\text{10}-1$3 Takže, $11^\text{10}-1$4 a tak dostaneme hodnotu $x$ a je $11^\text{10}-1$5 a $11^\text{10}-1$ je dělitelný $100$. Ale tento přístup trvá dlouhý čas pro jakoukoli soutěžní zkoušku nebo jakoukoli matematickou soutěž bez použití kalkulace.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	hledání hodnoty $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Nalezte hodnotu $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ co jsem zkoušel $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ Jak to vyřešit, prosím, pomozte mi	limits
A.9	Ujednodušení této série	Potřebuju napsat řadu $$\sum_{n=0}^N nx^n$$ ve formě, která nezahání sumní notaci, například $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Má někdo nějakou představu, jak to udělat?	sequences-and-series
A.10	Najděte hodnoty a>0 , pro které se neslučitelná integrala $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ shoduje .	Najděte hodnoty>0 pro které se nesprávný integrál $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ shoduje. Musím rozšířit integrál a použít sériové rozšíření??	improper-integrals
A.11	Jaký je křížový produkt ve dvou dimenziích?	V matematické knize, kterou používám, se říká, že křížový produkt pro dva vektory je definován nad $R^3$: $$u = (a,b,c)$$ $$v = (d,e,f)$$ je: $$u \times v = \begin{vmatrix} \hat{i} & \hat{j} & \hat{k} \\ a & b & c \\ d & e & f \\ \end{vmatrix} $$ a směr výsledného je určen zvrtnutím prstů od vektoru v do u s palecem ukazujícím směrem křížového produktu u x v. Z zvědavosti, jaký je křížový produkt, pokud u a v jsou definovány nad $R^2$ místo nad $R^3$: $$u = (a,b)$$ $$v = (d,e)$$ Existuje "degenerovaný" případ pro křížový produkt $R^2$ místo $R^3$? jako je tento druh 2x2 determinanta místo? například pokud měl parametrizaci: $$\Phi(u,\ v) = (\ f(u),\ \ g(v)\ )$$ a potřebný k výpočtu v $R^2$: $$ D = \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$ V knize je spousta příkladů pro výpočet určitého D v $R^3$ ale vůbec žádný pro případ $R^2$ jako v: $R^3$0 $R^3$1	multivariable-calculus,vectors
A.12	Zjistilo se kořeny složitého čísla	Řešil jsem problémy s praxí pro svůj příští střední kurz a přesto jsem se uvíznul s tímto typem otázky.	linear-algebra,complex-numbers,polar-coordinates
A.13	Jak zjednodušit výraz $\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$	Jak zjednodušit výraz $$\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$$ Odpověď je $bf(b)-af(a)$ ale já se diví, jak získat odpověď.	calculus
A.14	Pomoc při řešení diferenciální rovnice prvního řádu	Mám rovnici diferenciálu prvního řádu $$y=xy'+ \frac{1}{2}(y')^{2}$$ Možná s tím někdo najde způsob, jak ji vyřešit $$\frac{1}{2}y'(2x+y')=y$$ jsem si myslel, že můžu použít $x^2+y=t$ pro subtitulaci a když se odvozuji, mám $t'=2x+y'\\(t'-2x)t'=2t-2x^2$ který je přesně stejný jako předchozí.	ordinary-differential-equations
A.15	Odvolat součet $\sum_{i=1}^n ix^{i-1}$	Pro řady $$1 + 2x + 3x^2 + 4x^3 + 5x^4 + ... + nx^{n-1}+... $$ a $x \ne 1, |x| < 1$. Potřebuji najít částečné sumy a nakonec, sumy $S_n$ řad. Tady je to, co jsem zkusil: Můžeme vzít řadu $S_2 = 1 + x + x^2 + x^3 + x^4 + ...$ tak, aby $\frac{d(S_2)}{dx} = S_1$ (původní řada). Pro $|x| < 1$ sumy $S_2$ (tu je geometrická progresie): $\frac{1-x^n}{1-x} = \frac{1}{1-x}$ $S_1 = \frac{d(S_2)}{dx} = \frac{d(\frac{1}{1-x})}{dx} = \frac{1}{(1-x)^2}$ Ale tato odpověď je nesprávná. Kde je moje chyba? Děkuji.	sequences-and-series,convergence,summation,power-series
A.16	Hledání $ \int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}dx$	Počítat $$\int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}\,dx$$ Můj pokus: Nech: $$I(a,b)=\int_0^1\frac{\ln(1-ax)\ln(1+bx)}{1+x}\,dx$$ Pak počítat $\frac{d^2 I(a,b)}{dadb}$. Jsem rád, že vidím nápady, aby zabít tento integrál.	integration,sequences-and-series,definite-integrals,closed-form
