A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.2	Računavanje diferencijalnih jednačina oblika $f'(x)=f(x+1)$	Kako riješiti diferencijalne jednadžbe sljedećeg oblika: $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	Približavanje $\sqrt{5}$ ispravnosti na točnost $10^{-10}$	Pokušavam riješiti sljedeći problem: pronađite približku $\sqrt{5}$ ispravnu na točnost $10^{-10}$ koristeći algoritam razdvajanja. Što ja razumijem, $\sqrt{5}$ mora biti postavljen u funkciju $x$ ali nisam siguran gdje ići odatle.	numerical-methods,algorithms,bisection
A.4	Kako izračunati ovaj kombinativni iznos?	Imam suma $$\sum_{k=0}^{n} \binom{n}{k} k$$ znam da je rezultat $n 2^{n-1}$ ali ne znam kako doći do toga.	combinatorics,number-theory,summation,proof-explanation
A.5	S obzirom da je jedno od djece dječak, kakva je vjerojatnost da su oba dječak?	S obzirom da je jedno od djece dječak, kakva je vjerojatnost da su obje dječak? Ja sam to pitanje stavio koristeći uvjetnu formuli vjerojatnosti. Pretpostavimo, (1) je događaj, da je prvi dječak dječak, i (2) je događaj da je drugi dječak dječak. Onda je vjerojatnost drugog djeteta biti dječak, s obzirom da je prvo dijete dječak po formuli, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...s obzirom da drugo dijete biti dječak ne ovisi o prvom djetetu i obrnuto. Molim vas, pružite detaljno rješenje i ispravite me ako se varam.	probability,proof-verification,conditional-probability
A.6	Kako izračunati mod broja s velikim eksponentom	Želim pronaći $$ 5^{133} \mod 8. $$ primijetio sam da je $5^n \mod 8 = 5$ kad je $n$ nerazmeran i 1 inače, što bi me dovelo da kažem da je $5^{133} \mod 8 = 5$ Ali ne znam kako dokazati ovo. Kako mogu dokazati da je to slučaj (ili pronaći drugo rješenje ako nije)?	algebra-precalculus,arithmetic
A.7	U skladu s člankom 4. stavkom 1. stavkom 1.	Ako je $11^\text{10}-1$ podijeljen s $100$, onda riješiti za '$x$' u sljedećem terminu $$11^\text{10}-1 = x \pmod{100}$$ Što god da sam pokušao: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{od (1)} $11^\text{10}-1$3 Stoga, $11^\text{10}-1$4 i tako dobivamo vrijednost $x$ i to je $11^\text{10}-1$5 i $11^\text{10}-1$ je podijeljen s $100$. Ali ovaj pristup traje dugo vremena za bilo koji natječajni ispit ili bilo koji matematički natjecanje bez korištenja kalkulatora.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	utvrđivanje vrijednosti $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Naći vrijednost $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ što sam pokušao $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ Kako ga riješiti pomozite mi molim	limits
A.9	Ujednostavljujući ovu seriju	Moram napisati niz $$\sum_{n=0}^N nx^n$$ u obliku koji ne uključuje notiranje sumiranja, na primjer $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Ima li netko ideju kako to učiniti?	sequences-and-series
A.10	Nađi vrijednosti a>0 za koje se nepravilno integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ konvergira .	Naći vrijednosti a>0 za koje se neprikladni integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ konvergira.	improper-integrals
A.11	Što je križni proizvod u 2 dimenzije?	U matematičkoj knjizi koju koristim kaže da je križni proizvod za dva vektora definiran preko $R^3$: $$u = (a,b,c)$$ $$v = (d,e,f)$$ je: $$u \times v = \begin{vmatrix} \hat{i} & \hat{j} & \hat{k} \\ a & b & c \\ d & e & f \\ \end{vmatrix} $$ i smjer rezultanta je određeno vrtavanjem prstiju od vektora v do u s palcem ukazujući u smjeru križnog proizvoda u x v. Iz znatiželje, što je križni proizvod ako u i v definiraju preko $R^2$ umjesto $R^3$ umjesto $$u = (a,b)$$ $$v = (d,e)$$ Postoji li "degenerirani" slučaj za križni proizvod $R^2$ umjesto $R^3$?	multivariable-calculus,vectors
A.12	Pronaći korijene kompleksnog broja	Rješavao sam probleme s vježbom za svoj idući srednji termin i ipak sam se zaglavio sa ovim tipom pitanja.	linear-algebra,complex-numbers,polar-coordinates
A.13	Kako pojednostaviti izraz $\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$	Kako pojednostaviti izraz $$\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$$ Odgovor je $bf(b)-af(a)$ ali pitam se kako dobiti odgovor.	calculus
