A.1	求出$c$的值,使得理性函数$f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$的范围不包含$[-1, -\frac{1}{3}]$	我很舒服当被要求计算一个理性函数的范围时,但是我们如何做反转呢?我遇到了这个问题.如果$$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$,那么找到$c$的值,而$f(x)$的范围没有$[-1, -\frac{1}{3}]$.	functions
A.2	解决$f'(x)=f(x+1)$表格的差异方程	如何解决以下形式的差异方程:$\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	接近$\sqrt{5}$对$10^{-10}$的准确度进行正确的接近	我试图解决以下问题:通过二分算法找到$\sqrt{5}$对$10^{-10}$的准确性进行近似测量.从我所理解的角度来看,$\sqrt{5}$必须被放置在$x$的函数上,但我不确定从那里到哪里.	numerical-methods,algorithms,bisection
A.4	如何计算这个结合金额?	我知道结果是$n 2^{n-1}$,但我不知道如何做到这一点.	combinatorics,number-theory,summation,proof-explanation
A.5	一个家庭有两个孩子. 考虑到其中一个孩子是男孩,两个孩子都是男孩的概率是多少?	一个家庭有两个孩子.考虑到其中一个孩子是男孩,两个孩子都是男孩的概率是多少?我用条件概率公式来问这个问题.假设, (1) 是事件,第一个孩子是男孩, (2) 是事件,第二个孩子是男孩.然后,第二个孩子是男孩的概率是根据公式,$P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...因为第二个孩子是男孩,并不取决于第一个孩子和相反.请提供详细的解决方案,纠正我如果我错了.	probability,proof-verification,conditional-probability
A.6	如何计算大指数的数量	我想找到$$ 5^{133} \mod 8. $$ 我注意到$5^n \mod 8 = 5$是不均的,而$n$是不均的,这会导致我说$5^{133} \mod 8 = 5$但我不知道如何证明这一点.我怎么证明这是真的 (或者找到另一种解决方案如果不是)?	algebra-precalculus,arithmetic
A.7	使用模块来查找$\frac{11^\text{10}-1}{100}$剩余部分	如果$11^\text{10}-1$被$100$分为$100$,那么解决下面的术语$$11^\text{10}-1 = x \pmod{100}$$的'$x$'的问题.无论我尝试过什么:$11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{从 (1)} $11^\text{10}-1$3 因此,$11^\text{10}-1$4从而得到$x$的值,它是$11^\text{10}-1$5和$11^\text{10}-1$是$100$可分的.但是这种方法需要很长时间,不使用计算器.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	查找$\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$的值	查找$\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$的值,我试着什么$\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$$\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$如何解决它,请帮我	limits
A.9	简化这一系列	我需要以不涉及总结符号的形式写数组$$\sum_{n=0}^N nx^n$$.例如$\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$.有没有人知道如何做到这一点吗?我尝试了多种方法,包括使用生成函数,但没有运气	sequences-and-series
A.10	找到不合适的整体$\int_{0}^{\infty}\frac{\sin x}{x^{a}} $相近的>0值.	找出不合适的整体$\int_{0}^{\infty}\frac{\sin x}{x^{a}} $相近的>0值.我必须扩大整体并使用序列扩展吗?	improper-integrals
A.11	在二维中,交叉产量是什么?	由于好奇,如果 u 和 v 定义在 $R^2$ 上而不是 $R^3$ 上,则是什么交叉产量? $$u = (a,b)$$ $$v = (d,e)$$ 有没有一个"退化"的情况,为 $R^2$ 的交叉产量而不是 $R^3$? 这样的情况,是某种类型的 2x2 确定性?例如,如果有参数化: $$\Phi(u,\ v) = (\ f(u),\ \ g(v)\ )$$ 和需要计算在 $R^2$: $$ D = \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$	multivariable-calculus,vectors
A.12	复杂数的根源	我在解决我即将到来的中学练习问题,但是我被困在这个问题类型.它要求我找到所有的根,然后绘制它.	linear-algebra,complex-numbers,polar-coordinates
A.13	如何简化表达式$\int_a^b f(x)dx+\int_{f(a)}^{f(b)} f^{-1}(x)dx \ ?$	答案是$bf(b)-af(a)$,但我想知道如何得到答案.	calculus
A.14	帮助解决第一级差异方程	我有一个第一级差异方程$$y=xy'+ \frac{1}{2}(y')^{2}$$ 也许,有人会找到解决方法$$\frac{1}{2}y'(2x+y')=y$$我认为我可以使用$x^2+y=t$为次序,当我推导时,我有$t'=2x+y'\\(t'-2x)t'=2t-2x^2$是与之前的相同.我不知道如何开始..	ordinary-differential-equations
A.15	取出$\sum_{i=1}^n ix^{i-1}$的总数	对于$$1 + 2x + 3x^2 + 4x^3 + 5x^4 + ... + nx^{n-1}+... $$和$x \ne 1, |x| < 1$系列,我需要找到部分数和最后,数组的$S_n$数.我试过的就是:我们可以取一个数组$S_2 = 1 + x + x^2 + x^3 + x^4 + ...$以便$\frac{d(S_2)}{dx} = S_1$ (源数组).对于$|x| < 1$来说,$S_2$的数组 (这里是几何进度):$\frac{1-x^n}{1-x} = \frac{1}{1-x}$$S_1 = \frac{d(S_2)}{dx} = \frac{d(\frac{1}{1-x})}{dx} = \frac{1}{(1-x)^2}$但是这个答案是错误的.我的错误在哪里?谢谢.	sequences-and-series,convergence,summation,power-series
A.16	找到$ \int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}dx$	计算$$\int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}\,dx$$ 我的尝试: 让: $$I(a,b)=\int_0^1\frac{\ln(1-ax)\ln(1+bx)}{1+x}\,dx$$ 然后计算$\frac{d^2 I(a,b)}{dadb}$.我很高兴看到想法,以杀死这个整体.	integration,sequences-and-series,definite-integrals,closed-form
