A.1	Finding value of $c$ such that the range of the rational function $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ does not contain $[-1, -\frac{1}{3}]$	I am comfortable when I am asked to calculate the range of a rational function, but how do we do the reverse? I came across this problem. If $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ then find the value of $c$ for which the range of $f(x)$ does not contain $[-1, -\frac{1}{3}]$.	functions
A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi.    	Ja sam samopouzdan kad me pitaju da izračunam raspon racionalne funkcije, ali kako učiniti to obrnuto?  	functions
A.2	Solving differential equations of the form $f'(x)=f(x+1)$	How to solve differential equations of the following form:  $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.2	Računanje diferencijalnih jednadžbi oblika $f'(x)=f(x+1)$	Kako riješiti diferencijalne jednadžbe sljedećeg oblika: $\frac{df}{dx} = f(x+1)$   	ordinary-differential-equations
A.3	Approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$	I am attempting to resolve the following problem:  Find an approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$ using the bisection algorithm.  From what I understand, $\sqrt{5}$ has to be placed in function of $x$ but I am not sure where to go from there. Also, a function in Mathematica are given to do the calculations in which the function $f(x)$, $a$ and $b$ (from the interval $[a, b]$ where $f(a)$ and $f(b)$ have opposite signs), the tolerance and the number of iterations.	numerical-methods,algorithms,bisection
A.3	Približnost \sqrt{5}$ ispravnosti na točnost $10^{-10}$ 	Pokušavam riješiti sljedeći problem: pronađite približnost $\sqrt{5}$ ispravnu na točnost $10^{-10}$ koristeći algoritam razdvajanja. Što ja razumijem, $\sqrt{5}$ mora biti postavljen u funkciju $x$ ali nisam siguran gdje ići odatle.	numerical-methods,algorithms,bisection
A.4	How to compute this combinatoric sum?	I have the sum $$\sum_{k=0}^{n} \binom{n}{k} k$$ I know the result is $n 2^{n-1}$ but I don't know how you get there. How does one even begin to simplify a sum like this that has binomial coefficients.	combinatorics,number-theory,summation,proof-explanation
A.4	 Kako izračunati ovaj kombinatorni iznos?  	Imam zbroj $$\sum_{k=0}^{n} \binom{n}{k} k$$ Znam da je rezultat $n 2^{n-1}$, ali ne znam kako se dolazi do toga. Kako uopće početi pojednostavljivati sumu poput ove koja ima binomne koeficijente?	combinatorics,number-theory,summation,proof-explanation
A.5	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?  I was doing this question using conditional probability formula.  Suppose, (1) is the event, that the first child is a boy, and (2) is the event that the second child is a boy. Then the probability of the second child to be boy given that first child is a boys by formula, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...since second child to be boy doesn't depend on first child and vice versa. Please provide the detailed solution and correct me if I am wrong.	probability,proof-verification,conditional-probability
A.5	S obzirom da je jedno od djece dječak, kakva je vjerojatnost da su oba dječak? 	S obzirom da je jedno od djece dječak, kakva je vjerojatnost da su objoje dječaci? Ja sam to pitanje htio riješiti s pomoću kondicionalnih formula vjerojatnosti. Pretpostavimo, (1) je događaj, da je prvo dijete dječak, i (2) je događaj da je drugo dijete dječak. Onda je vjerojatnost da je drugo dijete dječak, s obzirom da je prvo dijete dječak po formuli, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...s obzirom da drugo dijete dječak ne ovisi o prvom djetetu i obrnuto. Molim vas, pružite detaljno rješenje i ispravite me ako se varam.	probability,proof-verification,conditional-probability
A.6	How to calculate mod of number with big exponent	I want to find $$ 5^{133} \mod 8. $$ I have noticed that $5^n \mod 8 = 5$ when $n$ is uneven and 1 otherwise, which would lead me to say that $5^{133} \mod 8 = 5$ But I don't know how to prove this. How can I prove that this is the case (or find another solution if it is not)?	algebra-precalculus,arithmetic
A.6	Kako izračunati mod broja s velikom eksponentom 	Želim pronaći $$ 5^{133} \mod 8. $$ primijetio sam da je $5^n \mod 8 = 5$ kad je $n$ nejednak i 1. Inače, što bi me dovelo da kažem da je $5^{133} \mod 8 = 5$ Ali ne znam kako dokazati ovo. Kako mogu dokazati da je to slučaj (ili pronaći drugo rješenje ako nije)?	algebra-precalculus,arithmetic
A.7	Finding out the remainder of $\frac{11^\text{10}-1}{100}$ using modulus	If $11^\text{10}-1$ is divided by $100$, then solve for '$x$' of the below term $$11^\text{10}-1 = x \pmod{100}$$  Whatever I tried: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{8} \equiv 1681 \pmod{100}$ $11^\text{8} \equiv 81 \pmod{100}$ $11^\text{8} × 11^\text{2} \equiv (81×21) \pmod{100}$ ......{from (1)} $11^\text{10} \equiv 1701 \pmod{100} \implies 11^\text{10} \equiv 1 \pmod{100}$ Hence, $11^\text{10} -1 \equiv (1-1) \pmod{100} \implies 11^\text{10} - 1 \equiv 0 \pmod{100}$ and thus we get the value of $x$ and it is $x = 0$ and $11^\text{10}-1$ is divisible by $100$. But this approach take a long time for any competitive exam or any math contest without using calculator. Any easier process on how to determine the remainder of the above problem quickly? That will be very much helpful for me. Thanks in advance.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.7	Pronalaženje ostatka $\frac{11^\text{10}-1}{100}$ koristeći modulo    	Ako se broj $11^{10}-1$ podijeli s $100$, tada riješite za '$x$' u sljedećem izrazu $$11^{10}-1 = x \pmod{100}$$ Bez obzira na to što sam pokušao: $11^{2} \equiv 21 \pmod{100}$.....(1) $(11^{2})^{2} \equiv (21)^{2} \pmod{100}$ $11^{4} \equiv 441 \pmod{100}$ $11^{4} \equiv 41 \pmod{100}$ $(11^{4})^{2} \equiv (41)^{2} \pmod{100}$ $11^{8} \equiv 1681 \pmod{100}$ $11^{8} \equiv 81 \pmod{100}$ $11^{8} × 11^{2} \equiv (81×21) \pmod{100}$ ......{iz (1)} $11^{10} \equiv 1701 \pmod{100} \implies 11^{10} \equiv 1 \pmod{100}$ Stoga, $11^{10} -1 \equiv (1-1) \pmod{100} \implies 11^{10} - 1 \equiv 0 \pmod{100}$ i tako dobivamo vrijednost $x$ i to je $x = 0$ i $11^{10}-1$ je djeljiv s $100$. Ali ovaj pristup zahtijeva puno vremena za bilo koji natjecateljski ispit ili matematičko natjecanje bez korištenja kalkulatora. Postoji li jednostavniji način kako brzo odrediti ostatak gore navedenog problema? To bi bilo vrlo korisno za mene. Hvala unaprijed.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ what i try $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ How do i solve it help me please	limits
A.8	utvrđivanje vrijednosti $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Pronalaženje vrijednost $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ što sam pokušao $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ Kako ga riješiti pomozite mi molim Vas	limits
A.9	Simplifying this series	I need to write the series  $$\sum_{n=0}^N nx^n$$  in a form that does not involve the summation notation, for example $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Does anyone have any idea how to do this? I've attempted multiple ways including using generating functions however no luck	sequences-and-series
