A.1	Finding value of $c$ such that the range of the rational function $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ does not contain $[-1, -\frac{1}{3}]$	I am comfortable when I am asked to calculate the range of a rational function, but how do we do the reverse? I came across this problem. If $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ then find the value of $c$ for which the range of $f(x)$ does not contain $[-1, -\frac{1}{3}]$.	functions			یافتن مقدار $c$ به‌گونه‌ای که مقادیر تابع گویا $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ شامل بازه $[-1, -\frac{1}{3}]$ نشود.	وقتی که از من خواسته می‌شود برد تابع راشناختی را محاسبه کنم، راحت هستم، اما چگونه می‌توانیم این کار را برعکس انجام دهیم؟ با این سوال مواجه شدم.  اگر $$f(x)=x2+x+cx2+2x+cf(x)=x2+2x+cx2+x+c$$​ آنگاه مقدار $c$ را بیابید که برد $f(x)$ شامل بازه $[-1, -\frac{1}{3}]$ نباشد.
A.2	Solving differential equations of the form $f'(x)=f(x+1)$	How to solve differential equations of the following form: $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations			حل معادلات دیفرانسیل به شکل $f'(x)=f(x+1)$	راه حل معادلات دیفرانسیل به شکل زیر چگونه است: $\frac{df}{dx} = f(x+1)$
A.3	Approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$	I am attempting to resolve the following problem: Find an approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$ using the bisection algorithm. From what I understand, $\sqrt{5}$ has to be placed in function of $x$ but I am not sure where to go from there. Also, a function in Mathematica are given to do the calculations in which the function $f(x)$, $a$ and $b$ (from the interval $[a, b]$ where $f(a)$ and $f(b)$ have opposite signs), the tolerance and the number of iterations.	numerical-methods,algorithms,bisection			تقریب به $\sqrt{5}$ با دقت $10^{-10}$	در تلاش برای حل مسئله زیر هستم: یافتن یک تقریب برای $\sqrt{5}$ که به دقت $10^{-10}$ با استفاده از الگوریتم روش دوبخشی باشد. تا جایی که من متوجه شدم $\sqrt{5}$ باید به صورت تابعی از $x$ قرار داده شود، اما مطمئن نیستم که باید چه کاری انجام دهم. همچنین، یک تابع در متماتیکا برای انجام محاسبات داده شده است که تابع $f(x)$، $a$ و $b$ (از بازه $[a، b]$ که $f(a)$ و $f(b)$ علائم مخالف دارند)، دقت و تعداد تکرارها را دربرمی‌گیرد.
A.4	How to compute this combinatoric sum?	I have the sum $$\sum_{k=0}^{n} \binom{n}{k} k$$ I know the result is $n 2^{n-1}$ but I don't know how you get there. How does one even begin to simplify a sum like this that has binomial coefficients.	combinatorics,number-theory,summation,proof-explanation			چگونه این مجموعه ترکیبی را محاسبه کنیم؟	یک سری $$\sum_{k=0}^{n} \binom{n}{k} k$$  دارم من می‌دانم که نتیجه آن $n 2^{n-1}$ است اما نمی‌دانم چگونه به آن برسم. چگونه می‌توان یک مجموعه مانند این را که شامل ضرایب دوجمله‌ای است، ساده‌سازی کرد؟
A.5	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys? I was doing this question using conditional probability formula. Suppose, (1) is the event, that the first child is a boy, and (2) is the event that the second child is a boy. Then the probability of the second child to be boy given that first child is a boys by formula, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...since second child to be boy doesn't depend on first child and vice versa. Please provide the detailed solution and correct me if I am wrong.	probability,proof-verification,conditional-probability			یک خانواده دارای دو فرزند است. با فرض اینکه یکی از فرزندان پسر است، احتمال اینکه هر دو فرزند پسر باشند چقدر است؟	یک خانواده دو فرزند دارد. با فرض اینکه یکی از فرزندان پسر است، احتمال اینکه هر دو فرزند پسر باشند چقدر است؟ من این سوال را با استفاده از فرمول  احتمال شرطی حل می‌کردم. فرض کنید (1) رویداد این  باشد که فرزند اول پسر است و (2) رویداد این باشد که فرزند دوم پسر است. سپس احتمال اینکه فرزند دوم پسر باشد به شرط اینکه فرزند اول پسر باشد برابر است با فرمول $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...زیرا احتمال اینکه فرزند دوم پسر باشد، به فرزند اول و بالعکس  وابسته نیست. لطفاً راه‌حل توضیح داده شده را ارائه دهید و اگر اشتباهی در نظرگیری دارم، مرا اصلاح کنید.
A.6	How to calculate mod of number with big exponent	I want to find $$ 5^{133} \mod 8. $$ I have noticed that $5^n \mod 8 = 5$ when $n$ is uneven and 1 otherwise, which would lead me to say that $5^{133} \mod 8 = 5$ But I don't know how to prove this. How can I prove that this is the case (or find another solution if it is not)?	algebra-precalculus,arithmetic			چگونه می‌توان مقدار باقیمانده عدد با نمای بزرگ را محاسبه کرد؟	می‌خواهم مقدار عبارت زیر را پیدا کنم: $$ 5^{133} \mod 8. $$. متوجه شدم که   هنگامی که $n$ فرد است و در غیر اینصورت برابر 1 است، که من را به این نتیجه می‌رساند که $5^{133} \mod 8 = 5$ اما نمی‌دانم چگونه این را اثبات کنم. چگونه می‌توانم اثبات کنم که این اتفاق می‌افتد (یا اگر این اتفاق نمی‌افتد، راه‌حل دیگری را پیدا کنم)؟
A.7	Finding out the remainder of $\frac{11^\text{10}-1}{100}$ using modulus	If $11^\text{10}-1$ is divided by $100$, then solve for '$x$' of the below term $$11^\text{10}-1 = x \pmod{100}$$ Whatever I tried: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{8} \equiv 1681 \pmod{100}$ $11^\text{8} \equiv 81 \pmod{100}$ $11^\text{8} × 11^\text{2} \equiv (81×21) \pmod{100}$ ......{from (1)} $11^\text{10} \equiv 1701 \pmod{100} \implies 11^\text{10} \equiv 1 \pmod{100}$ Hence, $11^\text{10} -1 \equiv (1-1) \pmod{100} \implies 11^\text{10} - 1 \equiv 0 \pmod{100}$ and thus we get the value of $x$ and it is $x = 0$ and $11^\text{10}-1$ is divisible by $100$. But this approach take a long time for any competitive exam or any math contest without using calculator. Any easier process on how to determine the remainder of the above problem quickly? That will be very much helpful for me. Thanks in advance.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof			یافتن باقیمانده‌ی $\frac{11^{10}-1}{100}$ با استفاده از مادول	اگر $11^{10}-1$ را بر $100$ تقسیم کنیم، آنگاه برای '$x$' در عبارت زیر حل کنید: 1110−1=x(mod100)1110−1=x(mod100) هر چه که سعی کردم: $11^2 \equiv 21 \pmod{100}$.....(1) $(11^2)^2 \equiv (21)^2 \pmod{100}$ $11^4 \equiv 441 \pmod{100}$ $11^4 \equiv 41 \pmod{100}$ $(11^4)^2 \equiv (41)^2 \pmod{100}$ $11^8 \equiv 1681 \pmod{100}$ $11^8 \equiv 81 \pmod{100}$ $11^8 × 11^2 \equiv (81×21) \pmod{100}$ ......{از (1)} $11^{10} \equiv 1701 \pmod{100} \implies 11^{10} \equiv 1 \pmod{100}$ بنابراین، $11^{10} -1 \equiv (1-1) \pmod{100} \implies 11^{10} - 1 \equiv 0 \pmod{100}$ و بنابراین مقدار $x$ را به دست می‌آوریم و آن $x = 0$ است و $11^{10}-1$ توسط $100$ قابل تقسیم است. اما این روش زمان زیادی برای هر آزمون رقابتی یا هر مسابقه ریاضی به دلیل عدم استفاده از ماشین حساب می‌گیرد. آیا روشی آسان‌تر برای تعیین باقیمانده مسأله فوق به سرعت وجود دارد؟ این برای من بسیار مفید خواهد بود. با تشکر از شما.
A.8	finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ what i try $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ How do i solve it help me please	limits			مقدار $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ را بیابید.	یافتن مقدار $\lim_{n\rightarrow  \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ که تلاش می‌کنم  $\displaystyle l=\lim_{n\rightarrow  \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$  $\displaystyle \ln(l)=\lim_{n\rightarrow  \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ را حل کنم.  لطفاً به من کمک کنید.
A.9	Simplifying this series	I need to write the series $$\sum_{n=0}^N nx^n$$ in a form that does not involve the summation notation, for example $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Does anyone have any idea how to do this? I've attempted multiple ways including using generating functions however no luck	sequences-and-series			ساده‌سازی این سری	من نیاز دارم تا سری زیر را به شکلی که شامل نمادگذاری جمع نباشد، بنویسم: $$\sum_{n=0}^N nx^n$$  برای مثال $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. آیا کسی ایده‌ای  دارد که چگونه این کار را انجام دهد؟ تلاش‌های متعددی انجام دادم از جمله  استفاده از توابع تولیدی، اما موفقیتی نداشتم.
A.10	Find the values of a>0 for which the improper integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ converges .	Find the values of a>0 for which the improper integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ converges . Do I have to expand integrand using series expansion??	improper-integrals			برای یافتن مقادیر $a>0$ که انتگرال ناسره $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ همگرا است.	برای یافتن مقادیر $a>0$ که انتگرال نامناسب  $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ همگرا است. آیا باید انتگرال را  با گسترش سری توسعه داده شده؟
A.11	What's the cross product in 2 dimensions?	The math book i'm using states that the cross product for two vectors is defined over $R^3$: $$u = (a,b,c)$$ $$v = (d,e,f)$$ is: $$u \times v = \begin{vmatrix} \hat{i} & \hat{j} & \hat{k} \\ a & b & c \\ d & e & f \\ \end{vmatrix} $$ and the direction of the resultant is determined by curling fingers from vector v to u with thumb pointing in direction of the cross product of u x v. Out of curiosity, what's the cross product if u and v are defined over $R^2$ instead of $R^3$ instead: $$u = (a,b)$$ $$v = (d,e)$$ Is there a "degenerate" case for the cross product of $R^2$ instead $R^3$? like this is some type of 2x2 determinant instead? for instance if had a parameterization: $$\Phi(u,\ v) = (\ f(u),\ \ g(v)\ )$$ and needed to calculate in $R^2$: $$ D = \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$ There are plenty of examples in the book for calculating the determinate D in $R^3$ but none at all for $R^2$ case. As in: $$ \iint_{V} f(x,y) dx\ dy = \iint_{Q} f(\Phi(u,v) \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$ $$ \Phi(u,v)=(2u \cos v,\ \ u \sin v) $$	multivariable-calculus,vectors			در دو بعد، ضرب خارجی چیست؟	کتاب ریاضیاتی که استفاده می‌کنم می‌گوید حاصلضرب برداری برای دو بردار در فضای $R^3$ تعریف شده است: $$u = (a,b,c)$$ $$v = (d,e,f)$$ به شکل زیر است:$$u \times v = \begin{vmatrix} \hat{i} & \hat{j} & \hat{k} \\ a & b & c \\ d & e & f \\ \end{vmatrix} $$  و جهت نتیجه نهایی توسط پیچاندن انگشتان از بردار v به u با شست پیکان به سمت حاصلضرب انتهایی u x v تعیین می‌شود. از روی کنجکاوی، اگر u و v در  $R^2$ به جای $R^3$ تعریف شوند، حاصلضرب چیست؟ به عبارت دیگر، آیا یک "حالت تبهگنی" برای حاصلضرب در $R^2$ به جای $R^3$ وجود دارد؟ مانند یک دترمینان  2x2؟ به عنوان مثال، اگر یک پارامتریک‌سازی داشته باشیم: $$\Phi(u,\ v) = (\ f(u),\ \ g(v)\ )$$ و نیاز به محاسبه آن در $R^2$ داشته باشیم: $$ D = \Bigg| \frac{\partial{\Phi}}{\partial{u}} \times \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$​ در کتاب مثال‌های بسیاری برای محاسبه دترمینان D در $R^3$ وجود دارد اما هیچ کدام برای موارد $R^2$ وجود ندارد. به عنوان مثال: $$ \iint_{V} f(x,y) dx\ dy = \iint_{Q} f(\Phi(u,v) \Bigg|  \frac{\partial{\Phi}}{\partial{u}} \times  \frac{\partial{\Phi}}{\partial{v}} \Bigg| $$ $$ \Phi(u,v)=(2u \cos v,\ \  u \sin v) $$
